"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2054699","Detached","Britannia","07/21/2023","$4,499,000.00","$4,075,000.00","4,869","4227 Britannia Drive SW","Calgary","1995","35","April DeJong","CDEJONAP","CBABOUMI","Sue Anne Valentine","CVALENSU","","CAL Zone CC"
"1","S","A2051386","Detached","Aspen Woods","07/13/2023","$3,850,000.00","$3,650,000.00","4,750","19 Aspen Ridge Court SW","Calgary","2017","46","Ross Pavl","CPAVLYRO","","Katina Martin","CMARTIKA1","","CAL Zone W"
"1","S","A2058976","Detached","Roxboro","07/12/2023","$3,500,000.00","$3,350,000.00","3,916","420 Roxboro Road SW","Calgary","2012","20","Greg Smith","CSMITHGR4","","Chris Fullerton","CFULLECH","CCOREASA","CAL Zone CC"
"1","S","A2052799","Detached","Elbow Park","07/26/2023","$3,250,000.00","$3,323,428.29","3,629","3808 12 Street SW","Calgary","2023","58","Trung Bien","CBIENTR1","","Ashley McKay","CMCKAYAS","","CAL Zone CC"
"1","S","A2046142","Apartment","South Calgary","07/21/2023","$3,399,000.00","$3,117,500.00","3,434","3030 17 Street SW Unit#201","Calgary","2019","78","Rachelle Starnes","CSTARNRA","CDEXTEKY","Mark Evernden","CEVERNMA","","CAL Zone CC"
"1","S","A2069790","Detached","St Andrews Heights","07/30/2023","$2,548,000.00","$2,548,000.00","3,548","1407 Windsor Street NW","Calgary","2015","0","Lisa Calles","CCALLELI","","Lisa Calles","CCALLELI","","CAL Zone CC"
"1","S","A2064141","Detached","Hillhurst","07/09/2023","$2,298,000.00","$2,515,000.00","4,301","1745 1 Avenue NW","Calgary","2013","1","Donna Rooney","CROONEDO","CVALENSU","Robin Clegg","CCLEGGRO","","CAL Zone CC"
"1","S","A2041587","Detached","NONE","07/27/2023","$2,699,000.00","$2,400,000.00","6,828","17016 Centre Street NE","Calgary","2012","99","Paul Gill","CGILLRA7","","Gagan Jagdey","CJAGDEGA","CBANIPSU",""
"1","S","A2064822","Detached","Elboya","07/16/2023","$2,295,000.00","$2,365,000.00","3,657","419 46 Avenue SW","Calgary","2012","2","Mary-Lou McCormick","CMCCORMA1","","Tannis Biddell","CBIDDETA","","CAL Zone CC"
"1","S","A2065905","Detached","Varsity","07/21/2023","$2,300,000.00","$2,345,000.00","2,938","632 Varsity Estates Crescent NW","Calgary","1976","7","Gulraj Sidhu","CSIDHUGU5","","Joel Semmens","CSEMMEJO","","CAL Zone NW"
"1","S","A2062714","Detached","Auburn Bay","07/10/2023","$2,350,000.00","$2,300,000.00","3,590","264 Auburn Shores Landing SE","Calgary","2014","4","Kym Barton","CBARTOKY","CRICHABA","Kimberly Poffenroth","CPOFFEKI","","CAL Zone SE"
"1","S","A2060395","Detached","Auburn Bay","07/05/2023","$2,350,000.00","$2,287,500.00","4,060","62 Auburn Sound Place SE","Calgary","2008","12","Larry Normandeau","CNORMALA","","Jamie Kaufman","CKAUFMJA","","CAL Zone SE"
"1","S","A2060202","Detached","Sundance","07/05/2023","$2,200,000.00","$2,253,000.00","2,827","845 Suncastle Road SE","Calgary","1986","6","Jamie Newton","CNEWTOJA","","Richard Lobsinger","CLOBSIRI","","CAL Zone S"
"1","S","A2065161","Detached","Aspen Woods","07/15/2023","$2,079,000.00","$2,200,000.00","3,274","21 Aspen Ridge Green SW","Calgary","2017","2","Ross Pavl","CPAVLYRO","","Joel Semmens","CSEMMEJO","","CAL Zone W"
"1","S","A2061991","Detached","Lakeview","07/24/2023","$2,249,999.00","$2,200,000.00","3,399","6515 LONGMOOR Way SW","Calgary","2023","25","Segun Akinrolabu","CAKINROL","","Mandy Martin","CMARTIAM","CPLINTDE","CAL Zone W"
"1","S","A1244757","Detached","Parkdale","07/01/2023","$2,275,000.00","$2,150,000.00","3,284","1005 36 Street NW","Calgary","2021","333","Darya Pfund","CAPFUNDDA","","Scott Van Gaal","CVANGASC","CHAVREJU","CAL Zone CC"
"1","S","A2059618","Detached","Britannia","07/06/2023","$2,099,000.00","$2,100,000.00","2,800","920 Elizabeth Road SW","Calgary","1955","14","Jeannie Brennan-Minchin","CBRENNRE","","Sam Corea","CCOREASA","","CAL Zone CC"
"1","S","A2056068","Detached","Altadore","07/14/2023","$2,195,000.00","$2,100,000.00","2,689","4624 17 Street SW","Calgary","2008","35","Michael Ferianec","CFERIAMI","","Rachelle Starnes","CSTARNRA","CDEXTEKY","CAL Zone CC"
"1","S","A2052782","Detached","Upper Mount Royal","07/07/2023","$2,049,000.00","$2,070,000.00","2,715","1405 Joliet Avenue SW","Calgary","2014","37","Zahra Jiwa","CJIWAZA","","Darren Smith","CSMITHDA5","","CAL Zone CC"
"1","S","A2041222","Detached","Springbank Hill","07/12/2023","$2,100,000.00","$2,050,000.00","3,714","38 Spring Willow Mews SW","Calgary","2012","82","Kim Vink","CVINKKI","","Teri-Ann Begin","CBEGINTE","","CAL Zone W"
"1","S","A2061783","Detached","Altadore","07/14/2023","$1,995,000.00","$1,995,000.00","3,252","2030 41 Avenue SW","Calgary","2023","10","Timothy Green","CGREENTI","CGREENHA","Rachelle Starnes","CSTARNRA","CDEXTEKY","CAL Zone CC"
