"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2035692","Detached","Upper Mount Royal","11/10/2023","$3,980,000.00","$3,500,000.00","6,057","1320 Prospect Avenue SW","Calgary","1998","224","Catherine Chow","CCHOWCA","","Kamil Lalji","CLALJIKA","","CAL Zone CC"
"1","S","A2081123","Detached","Elboya","11/15/2023","$2,999,990.00","$2,775,000.00","3,686","4559 Stanley Drive SW","Calgary","2023","60","Donna Rooney","CROONEDO","CCRONIGA2","Carmen Paradis","CPARADCA","","CAL Zone CC"
"1","S","A2066455","Detached","Mount Pleasant","11/20/2023","$2,500,000.00","$2,475,000.00","3,679","712 28 Avenue NW","Calgary","2010","123","Anne Clarke-Davidson","CCLARKAN2","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","A2081602","Detached","Springbank Hill","11/09/2023","$2,275,000.00","$2,222,000.00","3,551","222 Mystic Ridge Park SW","Calgary","2015","48","Sam Corea","CCOREASA","","Joanna Barstad","CBARSTJO","","CAL Zone W"
"1","S","A2090929","Detached","Rutland Park","11/09/2023","$2,225,000.00","$2,210,000.00","3,117","3331 35 Avenue SW","Calgary","2020","7","Brad Taylor","CTAYLOBR2","","Mark Lofgren","CLOFGRMA","","CAL Zone W"
"1","S","A2081622","Detached","NONE","11/09/2023","$2,400,000.00","$2,095,000.00","2,147","3250 84 Street SE","Calgary","1950","51","Kelly Hayes","CHAYESKE","","Parmeet Boparai","CBOPARPA","",""
"1","S","A2085004","Detached","Elbow Park","11/07/2023","$2,350,000.00","$2,075,000.00","3,613","3811 13A Street SW","Calgary","2018","35","Krista Legue","CLEGUEKR","","Krista Legue","CLEGUEKR","","CAL Zone CC"
"1","S","A2091211","Apartment","Chinatown","11/16/2023","$2,100,000.00","$2,070,000.00","2,020","88 Waterfront Mews SW Unit#401","Calgary","2019","13","Kim Stubbs","CSTUBBSKI","CHUXLETI","Len Mastaler","CMASTALE","","CAL Zone CC"
"1","S","A2089230","Detached","Altadore","11/03/2023","$1,995,000.00","$1,995,000.00","3,262","2032 41 Avenue SW","Calgary","2023","11","Timothy Green","CGREENTI","CGREENHA","Aleksey Julanov","CJULANAL","","CAL Zone CC"
"1","S","A2069929","Detached","Ramsay","11/11/2023","$1,988,000.00","$1,988,000.00","3,132","1124 Bellevue Avenue SE","Calgary","2023","59","Justin Warthe","CWARTHJU","","Shannon Macleod","CMACLESH2","","CAL Zone CC"
"1","S","A2060972","Detached","Upper Mount Royal","11/24/2023","$1,999,900.00","$1,950,000.00","2,963","2229 12 Street SW","Calgary","1995","151","Rob Smith","CSMITHRO8","CLOWEWI","Jordan Smeaton","CSMEATJO","","CAL Zone CC"
"1","S","A2093645","Detached","Elbow Park","11/24/2023","$1,950,000.00","$1,932,500.00","2,848","3803 7 Street SW","Calgary","1920","8","Joel Semmens","CSEMMEJO","","Josh Hamilton","CHAMILJO","","CAL Zone CC"
"1","S","A2083284","Detached","Canyon Meadows","11/21/2023","$2,000,000.00","$1,850,000.00","2,316","12931 Candle Crescent SW","Calgary","1996","57","Geoff Smith","CSMITHGE2","CSMITHSY","Greg Smith","CSMITHGR4","","CAL Zone S"
"1","S","A2086855","Detached","Roxboro","11/07/2023","$1,800,000.00","$1,825,000.00","2,305","314 Roxboro Road SW","Calgary","1920","25","Dennis Plintz","CPLINTDE","CRENEADE","Josh Giesbrecht","CGIESBJO","","CAL Zone CC"
"1","S","A2053924","Detached","Cranston","11/23/2023","$1,899,900.00","$1,800,000.00","2,148","148 Cranbrook View SE","Calgary","2012","175","Travis Munroe","CMUNROTR","","Alix Halpen","CHALPEAL","","CAL Zone SE"
"1","S","A2093210","Detached","Aspen Woods","11/21/2023","$1,699,700.00","$1,720,000.00","3,487","63 Aspen Vista Way SW","Calgary","2016","4","Dal Dhillon","CDHILLDA1","","Zhong Wei","CWEIZH","","CAL Zone W"
"1","S","A2083629","Detached","Springbank Hill","11/04/2023","$1,800,000.00","$1,715,000.00","2,885","44 Slopes Grove SW","Calgary","2003","39","Emma Zhang","CZHANGYA","CHEALDGA","Sophie Klassen","CKLASSSO","","CAL Zone W"
"1","S","A2078589","Detached","Parkdale","11/09/2023","$1,750,000.00","$1,700,000.00","3,470","3620 8 Avenue NW","Calgary","2019","63","John Dick","CDICKJO1","CMACINVI","Joel Semmens","CSEMMEJO","","CAL Zone CC"
"1","S","A2069310","Apartment","Mahogany","11/10/2023","$1,699,900.00","$1,699,900.00","1,255","35 Mahogany Circle SE Unit#101","Calgary","2018","98","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Non Board Member","CNONMEMB","","CAL Zone SE"
"1","S","A2090071","Detached","Varsity","11/06/2023","$1,599,000.00","$1,651,000.00","1,867","1238 Varsity Estates Road NW","Calgary","1972","3","Danny Fach","CFACHDA","","Priti Rajpal","CRAJPAPR","","CAL Zone NW"
"1","S","A2086608","Detached","Parkdale","11/10/2023","$1,800,000.00","$1,650,000.00","2,888","3704 5 Avenue NW","Calgary","2007","31","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Michael Laprairie","CLAPRAMI","CSTEWAAL1","CAL Zone CC"
"1","S","A2088788","Detached","Springbank Hill","11/23/2023","$1,695,000.00","$1,600,000.00","3,805","208 Fortress Bay SW","Calgary","2011","28","Nan Xu","CXUNA","","Laura Petros","CPETROKA","","CAL Zone W"
"1","S","A2024768","Detached","Inglewood","11/02/2023","$1,589,998.00","$1,600,000.00","2,757","708 20 Street SE","Calgary","2023","254","Lisa Johnson","CJOHNSLI1","","Lisa Johnson","CJOHNSLI1","","CAL Zone CC"
"1","S","A2085106","Detached","Mayfair","11/27/2023","$1,699,900.00","$1,570,000.00","3,103","15 Medford Place SW","Calgary","1960","53","Ashley McKay","CMCKAYAS","CDEVALCA","Stephen McDonald","CMCDONST","","CAL Zone CC"
"1","S","A2090530","Detached","Garrison Woods","11/03/2023","$1,395,000.00","$1,550,000.00","2,479","4095 20 Street SW","Calgary","2003","1","Karen Hudson","CHUDSOKA","CHUDSOSA","Vivienne Huisman","CFEICKVI","","CAL Zone CC"
"1","S","A2089968","Detached","West Springs","11/25/2023","$1,550,000.00","$1,450,000.00","2,968","14 Westpark Place SW","Calgary","2015","28","Donna Delaney","CDELANDO","","Shawna Dekort","CDEKORSH","","CAL Zone W"
"1","S","A2079067","Detached","Springbank Hill","11/24/2023","$1,469,900.00","$1,450,000.00","2,072","65 Mystic Ridge Way SW","Calgary","2022","74","Brad McCallum","CMCCALBR","","Tanya Eklund","CEKLUNTA","","CAL Zone W"
