"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2081160","Detached","Rosedale","10/16/2023","$4,495,000.00","$4,400,000.00","4,867","616 Crescent Road NW","Calgary","2012","31","Mary-Lou McCormick","CMCCORMA1","","Curtis Atkinson","CATKINCU","","CAL Zone CC"
"1","S","A2074205","Detached","Elbow Park","10/25/2023","$3,375,000.00","$3,300,000.00","4,695","3910 4 Street SW","Calgary","2019","69","Donna Rooney","CROONEDO","CCRONIGA2","Matt Williams","CWILLIMA3","","CAL Zone CC"
"1","S","A2055298","Detached","Aspen Woods","10/06/2023","$2,999,000.00","$2,850,000.00","4,776","39 Aspen Ridge Lane SW","Calgary","2005","122","Melissa Gallagher","CGALLAME","CBAMBEBA","Erin Reeves","CHUCULER","","CAL Zone W"
"1","S","A2084557","Detached","Britannia","10/07/2023","$2,498,000.00","$2,665,000.00","4,226","920 Crescent Boulevard SW","Calgary","2002","7","Donna Rooney","CROONEDO","CVALENSU","John McNeill","CMCNEIJO","","CAL Zone CC"
"1","S","A2078544","Detached","Currie Barracks","10/23/2023","$2,199,000.00","$2,600,000.00","3,441","246 Alexandria Green SW","Calgary","2021","40","Jeff Jackson","CAJACKSJE","","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","A2080563","Detached","Aspen Woods","10/10/2023","$2,500,000.00","$2,550,000.00","950","45 Aspen Acres Manor SW","Calgary","1979","25","Christopher Matlashewski","CMATLACH","","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","A2077421","Detached","Lakeview","10/01/2023","$2,900,000.00","$2,500,000.00","2,559","2917 Linden Drive SW","Calgary","1965","23","Barry Klatt","CKLATTBA","CCULHACY","Shawn Kennedy","CKENNESH","","CAL Zone W"
"1","S","A2087432","Detached","Upper Mount Royal","10/23/2023","$2,070,000.00","$2,400,000.00","3,530","1106 Valois Avenue SW","Calgary","1977","3","Mary-Lou McCormick","CMCCORMA1","","Donna Rooney","CROONEDO","","CAL Zone CC"
"1","S","A2086081","Detached","Altadore","10/06/2023","$2,200,000.00","$2,200,000.00","2,613","2017 48 Avenue SW","Calgary","2016","0","Tanya Eklund","CEKLUNTA","","Joel Semmens","CSEMMEJO","CCLEGGRO","CAL Zone CC"
"1","S","A2082842","Detached","Lake Bonavista","10/03/2023","$2,075,000.00","$2,175,000.00","3,305","979 Lake Placid Drive SE","Calgary","1975","5","Chris Adam","CADAMCH","CLAANSDE","Mark Evernden","CEVERNMA","","CAL Zone S"
"1","S","A2082732","Detached","Altadore","10/08/2023","$2,199,000.00","$2,160,000.00","2,769","1611 49 Avenue SW","Calgary","2000","15","Jennifer Everingham","CEVERIJE","","Bev Clark","CCLARKBE","","CAL Zone CC"
"1","S","A2074904","Detached","Dalhousie","10/10/2023","$2,499,000.00","$2,150,000.00","2,056","6407 58 Street NW","Calgary","1955","29","Jeff Sexsmith","CSEXSMJE","CBATTECO","Jordan Helwerda","CHELWEJO","","CAL Zone NW"
"1","S","A2085789","Detached","Britannia","10/16/2023","$1,895,000.00","$2,125,000.00","2,018","4408 Britannia Drive SW","Calgary","1956","3","Sam Corea","CCOREASA","","Robert Walker","CWALKERO1","","CAL Zone CC"
"1","S","A2084886","Detached","Hillhurst","10/28/2023","$2,098,000.00","$2,050,000.00","2,977","322 11 Street NW","Calgary","2023","25","Ray Bojakli","CBOJAKRA","","Samantha Loc","CCHANSA","","CAL Zone CC"
"1","S","A2080175","Apartment","Mission","10/12/2023","$2,050,000.00","$2,050,000.00","2,347","228 26 Avenue SW Unit#503","Calgary","2000","12","Brian Mahoney","CMAHONBR","","Lisa O'Hara","CVANHOLI","","CAL Zone CC"
"1","S","A2089851","Detached","Altadore","10/30/2023","$1,995,000.00","$2,000,000.00","2,824","1929 45 Avenue SW","Calgary","2015","4","Joel Semmens","CSEMMEJO","CHAREVA","Jeff Jackson","CAJACKSJE","","CAL Zone CC"
"1","S","A2083658","Detached","Hounsfield Heights/Briar Hill","10/06/2023","$1,999,900.00","$1,999,900.00","2,908","1823 11 Avenue NW","Calgary","2004","8","Trevor Ramage","CRAMAGTR","","Rebecca Mayhew","CMAYHERE","","CAL Zone CC"
"1","S","A2075068","Detached","Bowness","10/24/2023","$1,985,000.00","$1,985,000.00","1,500","8539 48 Avenue NW","Calgary","1929","63","Paul Ackerman","CACKERPA","","Jaycee Wang","CWANGYI","","CAL Zone NW"
"1","S","A2083894","Apartment","South Calgary","10/18/2023","$2,000,000.00","$1,975,000.00","1,934","3030 17 Street SW Unit#109","Calgary","2019","20","Richard Lobsinger","CLOBSIRI","","Janet Thompson","CTHOMPJA","","CAL Zone CC"
"1","S","A2067128","Detached","Hillhurst","10/03/2023","$1,950,000.00","$1,965,000.00","2,824","318 12 Street NW","Calgary","2023","73","Wendy Lambkin","CLAMBKWE","","Shannon Macleod","CMACLESH2","","CAL Zone CC"
"1","S","A2066830","Detached","Currie Barracks","10/20/2023","$1,999,900.00","$1,950,000.00","3,463","24 Mary Dover Drive SW","Calgary","2011","92","Trevor Ramage","CRAMAGTR","","Jeff Neustaedter","CNEUSTJE","","CAL Zone W"
"1","S","A2048511","Row/Townhouse","Currie Barracks","10/04/2023","$1,949,000.00","$1,810,000.00","3,041","8 Valour Circle SW","Calgary","2013","131","Candace Hendrickson","CHENDRCA1","","Luke McLaren","CMCLARLU","","CAL Zone W"
"1","S","A2082815","Detached","Lake Bonavista","10/31/2023","$1,775,000.00","$1,740,000.00","2,954","2107 Lake Bonavista Drive SE","Calgary","1973","39","Dax Murdoch","CMURDODA","","Sarah Mackillop","CMACKISA","","CAL Zone S"
"1","S","A2066818","Detached","Pump Hill","10/18/2023","$1,749,000.00","$1,725,000.00","3,068","64 Pumpmeadow Crescent SW","Calgary","1985","90","Marsha Graham","CGRAHAMA","","Daniel Weiner","CWEINEDA","","CAL Zone S"
"1","S","A2069363","Semi Detached (Half Duplex)","Parkhill","10/14/2023","$1,798,000.00","$1,680,000.00","2,024","3638 3 Street SW","Calgary","2004","78","Anne Clarke-Davidson","CCLARKAN2","","Apramjot Singh","CSINGHAP","","CAL Zone CC"
"1","S","A2079648","Semi Detached (Half Duplex)","Altadore","10/04/2023","$1,698,000.00","$1,678,000.00","2,930","2010 37 Avenue SW","Calgary","2012","24","Mike Dreger","CDREGEMI","CHEINBDO","Jon Dick","CDICKJO","","CAL Zone CC"
"1","S","A2083345","Detached","Crescent Heights","10/31/2023","$1,779,900.00","$1,677,500.00","3,224","1312 3 Street NW","Calgary","2020","28","Gordyn Matheson","CMATHEGO1","","Emmy Chu","CCHUNG","","CAL Zone CC"
"1","S","A2068322","Detached","Varsity","10/03/2023","$1,749,900.00","$1,675,000.00","2,725","1041 Varsity Estates Place NW","Calgary","1974","66","Kirby Cox","CCOXKI","","Ana Lovric-Koscianski","CLOVRIAN","","CAL Zone NW"
"1","S","A2081297","Detached","Mayfair","10/03/2023","$1,650,000.00","$1,650,000.00","2,269","147 Malibou Road SW","Calgary","1960","17","Donna Rooney","CROONEDO","CCRONIGA2","Ed Kwan","CKWANCH","","CAL Zone CC"
