"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2015451","Detached","Bel-Aire","02/28/2023","$4,400,000.00","$3,900,000.00","6,386","1116 Beverley Boulevard SW","Calgary","2014","71","Dennis Plintz","CPLINTDE","","Vivienne Huisman","CFEICKVI","","CAL Zone CC"
"1","S","A2024095","Detached","Elbow Park","02/27/2023","$3,650,000.00","$3,600,000.00","4,602","1231 Riverdale Avenue SW","Calgary","2006","17","Donna Rooney","CROONEDO","CCRONIGA2","Teri-Ann Begin","CBEGINTE","","CAL Zone CC"
"1","S","A2011001","Detached","Bel-Aire","02/17/2023","$3,250,000.00","$2,990,000.00","3,725","1411 Beverley Place SW","Calgary","2010","98","Donna Rooney","CROONEDO","CCRONIGA2","Sam Patel","CPATELSA1","","CAL Zone CC"
"1","S","A2004961","Detached","Bel-Aire","02/28/2023","$2,785,000.00","$2,715,000.00","5,954","67 Bel-Aire Place SW","Calgary","1981","115","John McNeill","CMCNEIJO","","Crystal Tost","CMYERSCR","","CAL Zone CC"
"1","S","A2026609","Detached","Elbow Park","02/20/2023","$2,750,000.00","$2,600,000.00","3,900","1105 Lansdowne Avenue SW","Calgary","2008","0","Sam Olschewski","COLSCHSA","","Sam Olschewski","COLSCHSA","","CAL Zone CC"
"1","S","A2025004","Detached","Lake Bonavista","02/21/2023","$2,149,900.00","$2,350,000.00","3,623","644 Lake Moraine Way SE","Calgary","1973","8","Patricia Lanuke","CLANUKPA","","Darcy Brown","CBROWNDA7","","CAL Zone S"
"1","S","A2025526","Detached","Elboya","02/21/2023","$1,949,000.00","$2,175,000.00","2,910","525 Riverdale Avenue SW","Calgary","1932","4","Ted Crawford","CCRAWFTE","","Anne Clarke-Davidson","CCLARKAN2","","CAL Zone CC"
"1","S","A2016522","Apartment","Eau Claire","02/08/2023","$1,999,900.00","$1,925,000.00","1,603","738 1 Avenue SW Unit#612","Calgary","2019","0","Tanya Eklund","CEKLUNTA","","Adam Sharek","CSHAREAD","","CAL Zone CC"
"1","S","A2018186","Detached","Charleswood","02/04/2023","$1,995,000.00","$1,912,500.00","2,389","2419 Charlebois Drive NW","Calgary","2020","23","Kevin Thygesen","CTHYGEKE","","Lucas Ramage","CRAMAGLU","","CAL Zone NW"
"1","S","A2026773","Detached","Elbow Park","02/21/2023","$1,850,000.00","$1,870,000.00","2,465","328 40 Avenue SW","Calgary","1928","0","Kale Bandura","CBANDUKA","","Kale Bandura","CBANDUKA","","CAL Zone CC"
"1","S","A2027095","Detached","Lake Bonavista","02/28/2023","$1,775,000.00","$1,800,000.00","3,313","143 Lake Placid Place SE","Calgary","1978","0","Jamie Newton","CNEWTOJA","","Kirsten Kemprud","CKEMPRKI","","CAL Zone S"
"1","S","A2024650","Detached","Garrison Woods","02/16/2023","$1,799,900.00","$1,800,000.00","2,913","4715 21 Street SW","Calgary","2013","6","Jamie Kaufman","CKAUFMJA","CREKRUJE","Curtis Atkinson","CATKINCU","","CAL Zone CC"
"1","S","A2023497","Detached","South Calgary","02/27/2023","$1,749,000.00","$1,774,200.00","2,541","2001 31 Avenue SW","Calgary","2018","18","Michael Jubb","CJUBBWI","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","A2018953","Detached","Hounsfield Heights/Briar Hill","02/06/2023","$1,749,900.00","$1,771,000.00","3,911","1205 20 Street NW","Calgary","2008","21","Tanya Eklund","CEKLUNTA","","Gord Piper","CPIPERGO","","CAL Zone CC"
"1","S","A2022369","Detached","Bel-Aire","02/06/2023","$1,795,000.00","$1,725,000.00","2,313","1104 Belavista Crescent SW","Calgary","1960","6","Sam Corea","CCOREASA","","Stephanie Campbell","CCAMPBST","","CAL Zone CC"
"1","S","A2012134","Detached","Britannia","02/16/2023","$1,745,000.00","$1,697,000.00","2,736","720 Imperial Way SW","Calgary","1955","91","Gizella Davis","CDAVISGI","","Victoria Dalgleish","CDALGLVI","","CAL Zone CC"
"1","S","A2027333","Detached","West Springs","02/25/2023","$1,500,000.00","$1,650,000.00","3,028","111 Wentworth Lane SW","Calgary","2006","1","Lori Olijnyk","COLIJNLO","","Cam Sterns","CSTERNCA","","CAL Zone W"
"1","S","A2024778","Detached","Ramsay","02/13/2023","$1,650,000.00","$1,650,000.00","2,555","1816 Elizabeth Street SE","Calgary","2023","1","Gurinder Brar","CBRARGU2","","Gurinder Brar","CBRARGU2","","CAL Zone CC"
"1","S","A2023542","Detached","Aspen Woods","02/28/2023","$1,649,000.00","$1,610,000.00","3,353","29 Aspen Summit Circle SW","Calgary","2016","22","Nathan Leech","CLEECHNA","","Katherine Bennett","CBENNEKA","","CAL Zone W"
"1","S","A2024531","Detached","Upper Mount Royal","02/09/2023","$1,850,000.00","$1,590,000.00","3,445","1319 Prospect Avenue SW","Calgary","1947","0","Gordon  Ross","CROSSGO1","","Gordon  Ross","CROSSGO1","","CAL Zone CC"
"1","S","A2020424","Semi Detached (Half Duplex)","Bayview","02/10/2023","$1,649,900.00","$1,585,000.00","2,394","68 Baycrest Place SW Unit#11","Calgary","1978","18","Patricia McQuitty","CMCQUIPA","","Al Sarpalius","CSARPAAL","","CAL Zone S"
"1","S","A2022952","Detached","Currie Barracks","02/28/2023","$1,585,000.00","$1,544,000.00","2,876","3 Beny-Sur-Mer Road SW","Calgary","2011","18","Katherine Bennett","CBENNEKA","","Joanne Malach","CMALACJO","","CAL Zone W"
"1","S","A2019811","Detached","Richmond","02/09/2023","$1,589,000.00","$1,540,000.00","1,540","3228 25 Street SW","Calgary","2019","23","Melinda Channon","CCHANNME","CMCCALBR","Leisa Fuller","CFULLELE","","CAL Zone CC"
"1","S","A2022909","Detached","Aspen Woods","02/22/2023","$1,450,000.00","$1,500,500.00","2,112","525 Aspen Glen Place SW","Calgary","2009","7","Fiona Christiaansen","CCHRISFI","","David Pellettier","CPELLEDA","","CAL Zone W"
"1","S","A2020770","Detached","Hillhurst","02/06/2023","$1,475,000.00","$1,485,000.00","3,120","410 11A Street NW","Calgary","2003","12","Nick Profeta","CPROFENI","CMAHAL","Jill Conroy","CCONROJI","","CAL Zone CC"
"1","S","A2015297","Detached","Signal Hill","02/20/2023","$1,599,900.00","$1,450,000.00","2,803","67 Sienna Hills View SW","Calgary","1991","31","Sheldon Zacharias","CZACHASH","","Gordyn Matheson","CMATHEGO1","","CAL Zone W"
"1","S","A2015130","Detached","Discovery Ridge","02/10/2023","$1,400,000.00","$1,445,000.00","2,985","424 Discovery Place SW","Calgary","2023","60","Koomson Ferguson","CFERGUKO","CJOHNSOL","Mark Lukwinski","CLUKWIMA","","CAL Zone W"
"1","S","A2021900","Detached","Altadore","02/20/2023","$1,489,900.00","$1,425,000.00","2,862","4221 17 Street SW","Calgary","2008","21","Aly Remtulla","CREMTUAL","","Paula Kahr","CKAHRPA","","CAL Zone CC"
"1","S","A2015643","Detached","Hounsfield Heights/Briar Hill","02/08/2023","$1,488,000.00","$1,400,000.00","1,819","1736 12 Avenue NW","Calgary","1954","54","Mark Evernden","CEVERNMA","","Jill Conroy","CCONROJI","","CAL Zone CC"
"1","S","A2022615","Detached","South Calgary","02/17/2023","$1,375,000.00","$1,370,000.00","2,743","1939 31 Avenue SW","Calgary","2006","14","Aly Remtulla","CREMTUAL","","Fiona Christiaansen","CCHRISFI","","CAL Zone CC"
"1","S","A2015105","Detached","Rocky Ridge","02/07/2023","$1,385,900.00","$1,355,000.00","3,361","35 ROCKFORD Park NW","Calgary","2023","54","Simon Hunt","CHUNTSI","","Non Board Member","CNONMEMB","","CAL Zone NW"
"1","S","A2020736","Detached","Rosedale","02/02/2023","$1,295,000.00","$1,320,000.00","1,339","1139 7A Street NW","Calgary","1942","9","David Greenwood","CGREENDA","","Adev Ahluwalia","CAHLUWAD","","CAL Zone CC"
"1","S","A2022896","Detached","Aspen Woods","02/08/2023","$1,349,900.00","$1,312,200.00","3,457","19 Aspen Cliff Close SW","Calgary","2008","6","Gloria Sun","CSUNWE","","Gary Cronin","CCRONIGA2","CROONEDO","CAL Zone W"
"1","S","A2023890","Detached","Aspen Woods","02/13/2023","$1,250,000.00","$1,301,000.00","2,660","19 Aspen Dale Way SW","Calgary","2012","3","Sam Corea","CCOREASA","","Martin Shahim","CSHAHIPA","","CAL Zone W"
"1","S","A1209107","Detached","Hillhurst","02/03/2023","$1,300,000.00","$1,285,000.00","2,009","1832 Bowness Road NW","Calgary","2022","286","Lisa Johnson","CJOHNSLI1","","Sahil Chhabra","CCHHABSA","","CAL Zone CC"
"1","S","A2024494","Detached","Lake Bonavista","02/24/2023","$1,275,000.00","$1,262,500.00","1,930","543 Lake Newell Crescent SE","Calgary","1973","15","Justin Havre","CHAVREJU","CARNFILA","Christopher Matlashewski","CMATLACH","","CAL Zone S"
"1","S","A2025178","Detached","Varsity","02/17/2023","$1,150,000.00","$1,258,000.00","2,891","112 Varsity Estates Place NW","Calgary","1975","3","Curtis Atkinson","CATKINCU","","Kelsey Jones","CJONESKE8","","CAL Zone NW"
"1","S","A2022899","Detached","Discovery Ridge","02/24/2023","$1,250,000.00","$1,252,201.00","2,370","322 Discovery Ridge Boulevard SW","Calgary","2005","15","Dennis Plintz","CPLINTDE","","Bobby Clark","CCLARKRO4","","CAL Zone W"
"1","S","A2027048","Detached","Edgemont","02/27/2023","$1,200,000.00","$1,250,000.00","2,533","216 Edelweiss Drive NW","Calgary","1985","3","Kirby Cox","CCOXKI","","Amit Gupta","cguptaam1","","CAL Zone NW"
"1","S","A2022675","Detached","Tuscany","02/10/2023","$1,249,900.00","$1,249,900.00","2,660","111 Tuscany Glen Park NW","Calgary","2005","7","Jeff Neustaedter","CNEUSTJE","CBURRIRO1","Ricky Easthope","CEASTHRI","","CAL Zone NW"
"1","S","A2021272","Detached","Signal Hill","02/15/2023","$1,190,000.00","$1,225,000.00","2,961","65 Simcrest Grove SW","Calgary","2000","1","Wince Chau-Mah","CCHAUMWI","","Arthur Lee","CLEEAR1","","CAL Zone W"
"1","S","A2019142","Detached","Elbow Park","02/22/2023","$1,229,000.00","$1,210,000.00","2,594","3206 7 Street SW","Calgary","1912","38","Carmen Davison","CDAVISCA","","Carmen Davison","CDAVISCA","","CAL Zone CC"
"1","S","A2024472","Row/Townhouse","Cliff Bungalow","02/13/2023","$1,200,000.00","$1,200,000.00","1,725","2218 5 Street SW","Calgary","2022","0","Zee Zebian","CZEBIANA","CSANKEDE","Karen Hotchkiss","CHOTCHKA","","CAL Zone CC"
"1","S","A1244459","Detached","Renfrew","02/07/2023","$1,250,000.00","$1,195,000.00","2,409","1207 Danloe Street NE","Calgary","2021","176","Catherine Ziro","CZIROCA","","Matt Launhardt","CLAUNHMA","","CAL Zone CC"
"1","S","A2022761","Detached","Tuscany","02/24/2023","$1,235,000.00","$1,190,000.00","2,881","63 Tuscany Estates Close NW","Calgary","2007","22","Eliza Dattadeen","CDATTAEL","","Timothy Green","CGREENTI","","CAL Zone NW"
"1","S","A2017537","Detached","Garrison Woods","02/24/2023","$1,199,900.00","$1,185,000.00","2,266","4709 21A Street SW","Calgary","2021","49","Brad Taylor","CTAYLOBR2","","Meredith Miller","CMILLEME1","","CAL Zone CC"
"1","S","A2013072","Detached","Altadore","02/24/2023","$1,179,000.00","$1,155,000.00","1,964","1732 47 Avenue SW","Calgary","2021","91","Timothy Green","CGREENTI","CGREENHA","Kayla Hagen","CMCNABKA","","CAL Zone CC"
"1","S","A2012037","Detached","West Hillhurst","02/12/2023","$1,195,000.00","$1,150,000.00","2,179","2024 2 Avenue NW","Calgary","2020","88","Teal Tatum","CTATUMTE","CDOULLAS","Cloe Behrman","CBEHRMCL","","CAL Zone CC"
"1","S","A1237346","Detached","West Springs","02/03/2023","$1,190,000.00","$1,136,500.00","2,896","967 73 Street SW","Calgary","2012","211","Mary Dascollas","CDASCOMA","","Ryan Shandruk","CSHANDRY","","CAL Zone W"
"1","S","A2019413","Detached","Altadore","02/23/2023","$1,249,900.00","$1,135,000.00","2,196","3925 15A Street SW","Calgary","2007","38","Sam Askar","CASKARSA","","Tomasz Samborski","CSAMBOTO","","CAL Zone CC"
"1","S","A2019909","Detached","University Heights","02/17/2023","$1,199,000.00","$1,120,000.00","2,881","3224 Uplands Place NW","Calgary","1965","28","Andrew Martin","CMARTIAN2","CPENDLJO","Sheryl Thompson","CTHOMPSH","","CAL Zone NW"
"1","S","A2024107","Detached","Springbank Hill","02/17/2023","$1,100,000.00","$1,100,000.00","2,739","64 ELMONT Rise SW","Calgary","2012","9","Sammy Gebreyesus","CGEBRESE","","Xiao Xia Li","CLISU","","CAL Zone W"
"1","S","A2022474","Detached","Strathcona Park","02/09/2023","$1,049,000.00","$1,100,000.00","2,563","1474 Strathcona Drive SW","Calgary","2001","8","Jeffrey Tincher","CTINCHJE","CMCCALBR","Perri Scarcelli","CSCARCPE","","CAL Zone W"
