"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2022596","Detached","Upper Mount Royal","03/09/2023","$3,899,000.00","$3,750,000.00","3,823","2401 Morrison Street SW","Calgary","2023","33","Michael Ferianec","CFERIAMI","CFERIATH","Michael Ferianec","CFERIAMI","CFERIATH","CAL Zone CC"
"1","S","A2027249","Detached","Rosedale","03/30/2023","$3,450,000.00","$3,350,000.00","3,202","530 Crescent Road NW","Calgary","2016","35","John McNeill","CMCNEIJO","","John McNeill","CMCNEIJO","","CAL Zone CC"
"1","S","A2001527","Detached","Lakeview","03/08/2023","$2,975,000.00","$2,900,000.00","3,897","6811 Lawrence Court SW","Calgary","2023","173","Daniel Weiner","CWEINEDA","","David Williams","CWILLIDA6","","CAL Zone W"
"1","S","A2030946","Apartment","Mission","03/23/2023","$2,650,000.00","$2,625,000.00","2,371","318 26 Avenue SW Unit#1101","Calgary","1982","13","Dennis Plintz","CPLINTDE","CRENEADE","Mathew Said Morley","CMORLEMA","","CAL Zone CC"
"1","S","A1196874","Detached","Out of Area Calgary","03/07/2023","$2,995,000.00","$2,575,000.00","2,952","6140 170 Avenue SW","Calgary","1981","344","Matt Williams","CWILLIMA3","","Amideus Chow","CCHOWAM","",""
"1","S","A2025749","Apartment","Eau Claire","03/05/2023","$2,295,000.00","$2,295,000.00","3,102","600 Princeton Way SW Unit#207","Calgary","2007","18","Jordan Lotoski","CLOTOSJO","CJOHNSDA3","Rachelle Starnes","CSTARNRA","","CAL Zone CC"
"1","S","A2027300","Detached","Elbow Park","03/13/2023","$2,390,000.00","$2,212,500.00","2,955","3818 8 Street SW","Calgary","2003","18","Lamise Kochorek","CKOCHOLA","","Barb Richardson","CRICHABA","CTHOROJA","CAL Zone CC"
"1","S","A2028548","Detached","North Glenmore Park","03/10/2023","$2,150,000.00","$2,170,000.00","1,891","2028 56 Avenue SW","Calgary","2021","4","Melissa Gallagher","CGALLAME","","Karen Fawcett","CFAWCEKA","","CAL Zone W"
"1","S","A2029592","Detached","West Hillhurst","03/20/2023","$2,249,000.00","$2,150,000.00","3,581","2625 6 Avenue NW","Calgary","","14","April DeJong","CDEJONAP","CBABOUMI","Danelle Kaspers","CKASPEDA1","","CAL Zone CC"
"1","S","A2028266","Detached","Springbank Hill","03/24/2023","$2,390,000.00","$2,140,000.00","4,345","144 Fortress Bay SW","Calgary","2013","25","Piew Soe Saw","CSAWPI","","Brian Lalonde","CLALONBR","CHAVREJU","CAL Zone W"
